antibiotic,candidate,params,oof_weighted_brier,oof_brier,oof_balanced_accuracy,oof_weighted_balanced_accuracy
cefoxitin,l2_logistic,"{""C"": 0.1}",0.1005743026827286,0.08877889488937225,0.9060371153394409,0.9065751763184777
cefoxitin,l1_logistic,"{""C"": 0.1}",0.08281015686362155,0.06831260549414647,0.9061584840654608,0.9056170243306971
cefoxitin,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.08159081539324879,0.06594392124745652,0.9076599326599326,0.9091708589414008
cefoxitin,random_forest,"{""min_samples_leaf"": 1}",0.08718352561220331,0.0720558429098989,0.901689374363793,0.9030777348310521
cefoxitin,extra_trees,"{""min_samples_leaf"": 1}",0.08682645490493181,0.07122215607867281,0.8949553676297862,0.8939351219435299
cefoxitin,bernoulli_nb,"{""alpha"": 1.0}",0.20507410654584055,0.18973908511525825,0.7851675671443114,0.7614246941651412
cefoxitin,knn,"{""n_neighbors"": 11}",0.10794720490493896,0.08866173126016734,0.8813405371544907,0.8668972457919009
cefoxitin,xgboost,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.08789283018759393,0.07272957247022258,0.9110269360269361,0.9123267494131884
cefoxitin,lightgbm,"{""num_leaves"": 31, ""learning_rate"": 0.05}",0.08280633528032245,0.06713460968292265,0.908822723357607,0.9096305166635461
ciprofloxacin,l2_logistic,"{""C"": 1.0}",0.07319000426233432,0.058671506470177014,0.9426569986435271,0.9244275579988421
ciprofloxacin,l1_logistic,"{""C"": 1.0}",0.0697509020594547,0.05654214561949853,0.9424932612986046,0.9244974883922419
ciprofloxacin,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.07194755678279466,0.05744781037239856,0.9405138587288743,0.9145355895794455
ciprofloxacin,random_forest,"{""min_samples_leaf"": 3}",0.11437721436209902,0.10267904463220497,0.9334294896052255,0.9049101186758373
ciprofloxacin,extra_trees,"{""min_samples_leaf"": 3}",0.11489995119497488,0.10232191081201687,0.935665050154568,0.9059802128487582
ciprofloxacin,bernoulli_nb,"{""alpha"": 1.0}",0.17775935790909872,0.20271696413982737,0.6858309706640895,0.7212989401642194
ciprofloxacin,knn,"{""n_neighbors"": 5}",0.3425505351426959,0.3253825922955779,0.5858231112715333,0.5684578445702899
ciprofloxacin,xgboost,"{""max_depth"": 2, ""learning_rate"": 0.05}",0.08276508958933795,0.06299938230316157,0.9401507256839128,0.913290669423025
ciprofloxacin,lightgbm,"{""num_leaves"": 31, ""learning_rate"": 0.05}",0.07698144413572203,0.06221426081527681,0.9380432441243763,0.9123365423974141
clindamycin,l2_logistic,"{""C"": 1.0}",0.19536363447342536,0.2296591176882805,0.6966473243068988,0.7038601721988561
clindamycin,l1_logistic,"{""C"": 1.0}",0.19216451869871454,0.23095449247491887,0.7093956977902819,0.720568592995773
clindamycin,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.22537552954728757,0.2746368076437485,0.5708340659984761,0.6128395547497691
clindamycin,random_forest,"{""min_samples_leaf"": 3}",0.2168993047485642,0.24584609115408954,0.5116933356778618,0.5343546128353267
clindamycin,extra_trees,"{""min_samples_leaf"": 3}",0.2131706701456261,0.24465189863862868,0.5112830431979368,0.5323851959774089
clindamycin,bernoulli_nb,"{""alpha"": 0.5}",0.3364341450733086,0.38652876667236286,0.6397632026258718,0.61552011423712
clindamycin,knn,"{""n_neighbors"": 11}",0.2712017148081864,0.29186587081135285,0.7065236504308071,0.640170850261897
clindamycin,xgboost,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.2366126766193165,0.29405317519423035,0.5241486431041557,0.5472349738935994
clindamycin,lightgbm,"{""num_leaves"": 31, ""learning_rate"": 0.05}",0.2534953566405929,0.3374848529505001,0.5741750190492937,0.6153326733652666
erythromycin,l2_logistic,"{""C"": 0.1}",0.177685892379028,0.1826619741779689,0.7691777818138326,0.7442160828706781
erythromycin,l1_logistic,"{""C"": 0.1}",0.16312482151708077,0.16624017894699972,0.8167861240437134,0.8031071840948998
erythromycin,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.165681722554901,0.15993235670882827,0.7999794013546377,0.7711021219019611
erythromycin,random_forest,"{""min_samples_leaf"": 3}",0.18725911284763333,0.1987286512120581,0.7889292248264619,0.7452690016766057
erythromycin,extra_trees,"{""min_samples_leaf"": 3}",0.189484917360457,0.20131984404130282,0.7243812654212977,0.7091704686679843
erythromycin,bernoulli_nb,"{""alpha"": 0.5}",0.3055445429662608,0.3544283266709763,0.6236295256109824,0.6217126252507122
erythromycin,knn,"{""n_neighbors"": 11}",0.23619070585823845,0.23237660799231535,0.772944233043771,0.7232020008756084
erythromycin,xgboost,"{""max_depth"": 2, ""learning_rate"": 0.05}",0.15304819468450673,0.15470097977767777,0.8075045516361526,0.7912287564307354
erythromycin,lightgbm,"{""num_leaves"": 15, ""learning_rate"": 0.05}",0.19093256894261226,0.19054655350669508,0.7473797637136035,0.7203971664545785
gentamicin,l2_logistic,"{""C"": 1.0}",0.06831544415027169,0.05687360528518281,0.9149384620036892,0.879974952573491
gentamicin,l1_logistic,"{""C"": 1.0}",0.06459631181153229,0.05035986194432903,0.9161374701381959,0.8836902903426953
gentamicin,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.051210898833233855,0.04353653081767261,0.9209894463092322,0.8935510170186418
gentamicin,random_forest,"{""min_samples_leaf"": 1}",0.060133727250849194,0.06044209017863037,0.9091702198433578,0.8695672820064994
gentamicin,extra_trees,"{""min_samples_leaf"": 1}",0.06142310873461049,0.06147291580130758,0.9112824699869969,0.8742529443399261
gentamicin,bernoulli_nb,"{""alpha"": 0.5}",0.09385083915774636,0.1014497520967754,0.7702122834074208,0.7639973393710107
gentamicin,knn,"{""n_neighbors"": 11}",0.07895570045199053,0.09108098767724164,0.7705539931658049,0.7602351608932081
gentamicin,xgboost,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.050792340821304766,0.04200336372133471,0.9184765187940367,0.8834583085190941
gentamicin,lightgbm,"{""num_leaves"": 31, ""learning_rate"": 0.05}",0.055462199461383054,0.04553713022109511,0.9170507121473284,0.8868438451764183
tetracycline,l2_logistic,"{""C"": 0.1}",0.10645178790586646,0.09508758669043174,0.8864924402558811,0.8817480850068731
tetracycline,l1_logistic,"{""C"": 0.1}",0.09816577537199946,0.08657581159635204,0.9104276846212329,0.8924782646202036
tetracycline,hist_gradient_boosting,"{""learning_rate"": 0.05, ""max_leaf_nodes"": 15, ""l2_regularization"": 3.0}",0.09659486658282762,0.08719457216537237,0.907369810595617,0.8882687450097421
tetracycline,random_forest,"{""min_samples_leaf"": 1}",0.09305760423879303,0.08566411813998898,0.8386790429801183,0.8351834216844156
tetracycline,extra_trees,"{""min_samples_leaf"": 1}",0.09454761809849475,0.08601385657356969,0.8518755239185347,0.8309753508602187
tetracycline,bernoulli_nb,"{""alpha"": 0.5}",0.1410623938241298,0.10713249547945401,0.7672799124412029,0.725836076702256
tetracycline,knn,"{""n_neighbors"": 5}",0.11018376913014542,0.09468528624078439,0.7556903470881966,0.7100250250450963
tetracycline,xgboost,"{""max_depth"": 3, ""learning_rate"": 0.05}",0.09496865784598366,0.08529758058810671,0.9059870834064383,0.88577400016364
tetracycline,lightgbm,"{""num_leaves"": 31, ""learning_rate"": 0.05}",0.09873599521155886,0.08762038006435782,0.904045973938447,0.8818263217638205
