antibiotic,model_a,model_b,oof_disagreement_rate,oof_prob_correlation
cefoxitin,l2_logistic,l1_logistic,0.006914433880726016,0.966020541012684
cefoxitin,l2_logistic,hist_gradient_boosting,0.016421780466724288,0.9390218553932195
cefoxitin,l1_logistic,hist_gradient_boosting,0.011235955056179775,0.9760701737865015
ciprofloxacin,l2_logistic,l1_logistic,0.001195457262402869,0.9983984866661421
ciprofloxacin,l2_logistic,hist_gradient_boosting,0.01972504482964734,0.9855190208088552
ciprofloxacin,l1_logistic,hist_gradient_boosting,0.02092050209205021,0.9869443962454287
clindamycin,l2_logistic,l1_logistic,0.0715909090909091,0.9630220483877688
clindamycin,l2_logistic,hist_gradient_boosting,0.21704545454545454,0.7692686055846931
clindamycin,l1_logistic,hist_gradient_boosting,0.25227272727272726,0.7838889771489904
erythromycin,l2_logistic,l1_logistic,0.2778181818181818,0.8395820509803748
erythromycin,l2_logistic,hist_gradient_boosting,0.2952727272727273,0.6732786753563186
erythromycin,l1_logistic,hist_gradient_boosting,0.06109090909090909,0.8650643146648614
gentamicin,l2_logistic,l1_logistic,0.0014316392269148174,0.9877184037813206
gentamicin,l2_logistic,hist_gradient_boosting,0.024337866857551897,0.9532909699376977
gentamicin,l1_logistic,hist_gradient_boosting,0.024337866857551897,0.9612525833924997
tetracycline,l2_logistic,l1_logistic,0.012195121951219513,0.9636582056373054
tetracycline,l2_logistic,hist_gradient_boosting,0.025107604017216643,0.950293930405883
tetracycline,l1_logistic,hist_gradient_boosting,0.01291248206599713,0.9660089445089773
